Date,,A,B,C
2017/5/30,A,0.0001273211715855147,0.00015845998140086323,0.00011378476363704278
2017/5/30,B,0.00015845998140086323,0.00020245507742106504,0.00014469660256193626
2017/5/30,C,0.00011378476363704278,0.00014469660256193626,0.00011033485899372858
2017/5/31,A,0.00012777871111296823,0.00015965589078479435,0.00011422348175514712
2017/5/31,B,0.00015965589078479435,0.00020547529770971516,0.00014591621866276235
2017/5/31,C,0.00011422348175514712,0.00014591621866276235,0.00011070521504115676
2017/6/1,A,0.00013270080993380833,0.00016466076943156866,0.00011570479255760653
2017/6/1,B,0.00016466076943156866,0.00021049547035551536,0.0001469195166528594
2017/6/1,C,0.00011570479255760653,0.0001469195166528594,0.00010747881431531994
2017/6/2,A,0.00013586555561046631,0.00016788841719082536,0.00011714089024690109
2017/6/2,B,0.00016788841719082536,0.00021378392893072105,0.00014837799564407873
2017/6/2,C,0.00011714089024690109,0.00014837799564407873,0.00010811912176906293
2017/6/5,A,7.822901835771452e-05,9.003124229544356e-05,6.131155957248269e-05
2017/6/5,B,9.003124229544356e-05,0.00010862245441330082,7.294827648995022e-05
2017/6/5,C,6.131155957248269e-05,7.294827648995022e-05,5.405866468200165e-05
2017/6/6,A,8.514146875667577e-05,9.939026930181216e-05,6.79034403700724e-05
2017/6/6,B,9.939026930181216e-05,0.00012128748929221813,8.189277817599758e-05
2017/6/6,C,6.79034403700724e-05,8.189277817599758e-05,6.0286346155924236e-05
2017/6/7,A,8.254290952260378e-05,9.616607521809797e-05,6.449641895354403e-05
2017/6/7,B,9.616607521809797e-05,0.0001173144438575408,7.756297565652683e-05
2017/6/7,C,6.449641895354403e-05,7.756297565652683e-05,5.620258947773759e-05
2017/6/8,A,9.27705936145903e-05,0.0001076409398845134,7.523265214107583e-05
2017/6/8,B,0.0001076409398845134,0.00013000775048673343,8.936842873273173e-05
2017/6/8,C,7.523265214107583e-05,8.936842873273173e-05,6.715418170710921e-05
2017/6/9,A,0.00010541496836763169,0.00012139924164695106,8.379518942855843e-05
2017/6/9,B,0.00012139924164695106,0.000144754404674855,9.878768163953197e-05
2017/6/9,C,8.379518942855843e-05,9.878768163953197e-05,7.290571531967665e-05
2017/6/12,A,0.00010096683969599299,0.00011848312147681903,8.246286096670788e-05
2017/6/12,B,0.00011848312147681903,0.00014380963960532376,9.905406026827156e-05
2017/6/12,C,8.246286096670788e-05,9.905406026827156e-05,7.38502077684394e-05
2017/6/13,A,0.00010132777378466998,0.00011847720709916308,8.403586025852543e-05
2017/6/13,B,0.00011847720709916308,0.00014329849543519925,0.00010058934699803578
2017/6/13,C,8.403586025852543e-05,0.00010058934699803578,7.593888367719624e-05
2017/6/14,A,0.00010490924763625896,0.0001235110713751994,8.691470221885235e-05
2017/6/14,B,0.0001235110713751994,0.0001503581701669393,0.00010474923220060073
2017/6/14,C,8.691470221885235e-05,0.00010474923220060073,7.742403273133209e-05
2017/6/15,A,0.00010909606023712906,0.0001280673730801178,9.066313880094728e-05
2017/6/15,B,0.0001280673730801178,0.00015470552225767866,0.0001082012667114141
