Day,A,B,C
257,-0.01117376840777504,-0.012784980843470985,-0.01307122943393138
258,-0.01369820760492511,-0.013088910897678847,-0.007822569659917525
259,0.014045311619449403,0.01362074141277194,0.01709744271788311
260,-0.00871345696756242,-0.013160656153111502,-0.009033432755292357
261,-8.622081969012971e-05,0.003872212632113063,0.0014309600818167845
262,-0.0012182869286105607,-0.006151233228624546,-0.006616821679360556
263,0.005659625773742204,0.0026508261501949487,0.005946502140308899
264,-0.018167662175117543,-0.019214888412280338,-0.01893449930344121
265,0.008712436677772991,0.011208179159206699,0.005950348916967578
266,0.012951310844471351,0.015874346249519947,0.009017167667523779
267,0.007443016082443945,0.008641766800352637,0.0028703976841874656
268,0.002392121737867366,0.002969422750894386,-0.0009284611050387635
269,0.007556580799890597,0.008776612877347477,0.00951918905294285
270,0.011372136697095213,0.017932850214566837,0.01783200370084329
271,-0.028746277217233898,-0.035754587593664885,-0.030808008679161454
272,0.031065106510854916,0.036767819884312304,0.030069903729452452
273,0.011258888919204298,0.019185212072124244,0.01774883385196187
274,-0.0019278330212016215,-0.0022264063092751075,-0.0014631131145532918
275,0.0013793428222440476,0.00871346695241801,0.003950979412781826
276,0.012569949689949433,0.014751964664635927,0.007151753173208765
277,0.004855943749673044,0.010151278350820948,0.011316275159124154
278,-0.01936179718892858,-0.028468814098953903,-0.0212059942082481
279,0.032438553940551444,0.03941213117470773,0.033354199672363236
280,0.004926314316710445,0.0009010318281729391,-0.002781861587535715
281,0.01922883282342584,0.025744998376919667,0.021339061829257863
282,-0.0024292597731492708,-0.006750536527714132,-0.003411357878501472
283,0.025758358665283913,0.03180738852080309,0.026438973024944648
284,0.009946548322393799,0.011043476270222764,0.006478810741360473
285,0.01402588834550865,0.013168505956167063,0.013735853562183912
286,-0.006896970155592499,-0.013397230084398547,-0.015548580450204075
287,0.02164446609146382,0.02435730746833511,0.02242278581554686
288,0.015050141605483625,0.02356452353796642,0.022270217891751924
289,0.02279175231524808,0.026422021545627727,0.026109762274049278
290,-0.0016201937136001996,0.0009562767357379225,-0.0003180340134207761
291,0.0002399900777618879,0.00010760270723418662,-0.0030743930484868603
292,0.035467052536236096,0.04533291653399613,0.03877680336177108
293,-0.007083702102132658,-0.014277643561278988,-0.013633227705728328
294,0.004604912514890231,0.004250901642276884,0.0035398473368085156
295,0.020705219952324327,0.027848547821120943,0.021274934579623938
296,0.007560689249318214,0.008556569621574764,0.003992653654196165
297,0.013698400913923927,0.016164685487588024,0.013946837830912879
298,0.001271880353881017,0.0001650163371474079,-0.004269927765812361
299,0.011005433188952694,0.016841176573823197,0.015345660056346291
300,-0.010201847382274105,-0.011301393863637772,-0.012098819670859243
301,0.027298433743522393,0.03289733115272594,0.02084164957183192
302,0.004829885239755942,0.00782937931070331,0.006105049751022298
303,-0.0022790940373940043,-0.0008747822923690252,0.0006651202562221176
304,0.014753708654031458,0.01837670965262835,0.016525795109742336
305,0.0004968597553113687,0.005488374848884636,0.006978561600217889
306,-0.01055262770769259,-0.012853799170044743,-0.017725903792046565
307,-0.010710223412228399,-0.011972898608968836,-0.01275686466643201
308,0.015100168688243126,0.016087007929875687,0.013206870512213188
309,0.004306093245911956,0.0056420179239069345,0.009317124476990117
310,0.00463334949926006,0.010580962195326954,0.010943187459889132
311,0.019957055964431078,0.021914308013447275,0.023544011581100494
312,-0.00792878900739371,-0.013099282077116099,-0.0121394298717155
313,-0.0029178684183291123,-0.00034941135094841876,0.0005882536529920924
314,0.0014561680306414944,0.0012769617569720212,-0.002456843706036174
315,0.007518019012731817,0.00932521476793631,0.006181497823392576
316,0.005791123967084452,0.006806687968055518,0.003120141150900705
317,0.0026956874824046275,0.0034850298389019316,0.0007831756969641761
318,0.005545036141842281,0.009343657550004648,0.0062307306736654145
319,0.0049672390082016495,0.0033071431278030223,0.002654308117929335
320,-0.002777800207969084,-0.00653287083286701,-0.005156054053520317
321,-0.003959082941975584,-0.004482206688790232,-0.0018672146796980672
322,0.00979694310186158,0.006676323379878861,0.005783741107001764
323,-0.004944728135918504,-0.010275650286342794,-0.009308488035263988
324,-0.008314959403733724,-0.004074980865898586,-0.0049125231402887175
325,0.002374336083622865,0.005244528478785664,0.0032243870056416386
326,0.004330207788495792,0.005164447989863454,0.0027115782709071553
327,0.03487010052306949,0.04575904230439827,0.03815982064310989
328,-0.00258927643748189,-0.006397795423464937,-0.0023812053639992396
329,0.01825596459347781,0.020909132805610908,0.02075618882489834
330,0.01577582322911169,0.020902521296168094,0.014199459419720234
331,-0.008714540963705917,-0.0076408979957119936,-0.004628433094077348
332,0.016105517784732463,0.020948606827926437,0.01234852118864099
333,-0.008650481882819912,-0.018416680970089295,-0.01355326270120168
334,-0.02731160853069143,-0.035835274690728905,-0.025244509381643035
335,0.013993958067559108,0.018301371451910187,0.014168053622210892
336,-0.01588589894248373,-0.02018869618554597,-0.01275898393869873
337,0.012028475219412343,0.02246708796927485,0.014373202634535762
338,-0.0023275742045677133,0.00013694557051056313,-0.0027005866701262375
339,0.02731639695516028,0.034544486209817496,0.027206120536430886
